data_paper_DOI;data_paper_title;dimension;sub-dimension;sub-dimension-requirements;ground_truth
https://doi.org/10.1016/j.dib.2022.108886;An annotated dataset for event-based surveillance of antimicrobial resistance;"Gathering: 
How data have been collected";Information of the sources of the data;From where the data has been collected, and the potential noise issue of the source;"The sources are four EBS-systems: ProMED, PADI-web, HealthMap and MedISys.

HealthMap: It is operating since 2006. It is an automated and curated aggregator of a broad range of data sources, such as Twitter, Google News, Baidu and SoSo news aggregators and ProMED in nine languages.

ProMED: It is a program of the International Society for Infectious Diseases (ISID) [5]. It was launched in 1994 as an Internet service to identify unusual health events related to emerging and re-emerging infectious diseases and toxins affecting humans, animals and plants.

MedISys: It is an EBS system developed by the European Commission Directorate General for Health and Consumers (DG SANCO) and the Joint Research Centre (JRC) of the European Commission.

PADI-web: It is operating since 2016. It is an automated EBS tool that monitors the Google News aggregator in sixteen languages.

"
https://doi.org/10.1016/j.dib.2022.108887;An annotated dataset for event-based surveillance of antimicrobial resistance;"Gathering: 
How data have been collected";Localization of the process;Where and when the data has been collected;Not provided
https://doi.org/10.1016/j.dib.2022.108888;An annotated dataset for event-based surveillance of antimicrobial resistance;"Annotation: 
How data has been annotated";Description of the process;A summary of the annotation process to generate the labels;"The four sub-datasets from the respective EBS sources were manually annotated according to three main classes (New Information, General
Information, Not Relevant). Data observation labeled as New Information or General Information were subsequently annotated according to a host classification system referring to host and/or
transmission reservoirs (e.g. Humans, animals, Environment, etc). An annotation guideline was provided to facilitate a unified manual annotation across three annotators (AMR experts)."
https://doi.org/10.1016/j.dib.2022.108889;An annotated dataset for event-based surveillance of antimicrobial resistance;"Annotation: 
How data has been annotated";Processs Type;The type of annotation process: Bounding boxes, Lines and splines, Semantinc Segmentation, 3D cuboids, Polygonal segmentation, Landmark and key-point, Image and video annotations, Entity annotation, Content and textual categorization;Entity annotation
https://doi.org/10.1016/j.dib.2022.108890;An annotated dataset for event-based surveillance of antimicrobial resistance;"Annotation: 
How data has been annotated";The generated labels;Which are the generated labels, and its mapping with specific attributes;New information, General information, Not relevant
https://doi.org/10.1016/j.dib.2022.108891;An annotated dataset for event-based surveillance of antimicrobial resistance;"Annotation: 
How data has been annotated";Information of the team annotating the data;Who annotates the data, form which type is (internal, external, crowdsourcing), and its demographics information;3 AMR experts
https://doi.org/10.1016/j.dib.2022.108892;An annotated dataset for event-based surveillance of antimicrobial resistance;"Annotation: 
How data has been annotated";Infrastructure used to annotate the data;Which tools and platforms  has been used to annotate the data;Annotation Guidelines
https://doi.org/10.1016/j.dib.2022.108893;An annotated dataset for event-based surveillance of antimicrobial resistance;"Annotation: 
How data has been annotated";Validations applied over the labels;Which validation methods have been applied to validate the annotations;Has been validated by performing experiments with retrieval algorithms such as TF-Idf and Doc2Vec
https://doi.org/10.1016/j.dib.2022.108894;An annotated dataset for event-based surveillance of antimicrobial resistance;"Social Concerns: 
Explicit warning regarding the data. ";Potential biases of the data;Potential biases of the dataset;Not provided
https://doi.org/10.1016/j.dib.2022.108895;An annotated dataset for event-based surveillance of antimicrobial resistance;"Social Concerns: 
Explicit warning regarding the data. ";Representativeness and sensitivity  issues;Data imbalance, and representiveness issues for specific social groups;Not provided
https://doi.org/10.1016/j.dib.2022.108896;An annotated dataset for event-based surveillance of antimicrobial resistance;"Social Concerns: 
Explicit warning regarding the data. ";Privacy concerns of the data;Data privacy concerns;The content of media data is anonymized by removing the user names and the names of person in transcripts (using SpaCy for name recognition).
https://doi.org/10.1016/j.dib.2022.108436;Human-annotated dataset for social media sentiment analysis for Albanian language;"Uses: 
The desing pruposes and uses of the dataset";Purposes and gaps of the dataset;"The purposes of the creation of the dataset
The gaps this dataset inted to fill or complement
Representative tags of the dataset
ML Tasks the dataset is inteded for";"The purpose is to help in sentimental analysis on social media comments in Albanian language.


Gaps: The scarcity of labeled data for low-resource languages

Task: Sentiment-analysis, information-retrival"
https://doi.org/10.1016/j.dib.2022.108437;Human-annotated dataset for social media sentiment analysis for Albanian language;"Uses: 
The desing pruposes and uses of the dataset";Recommended and non-recommneded uses;The recommended and non-recommended uses of the dataset, and the warning towards its use.;"Uses: Another possible value of these data is that they could be used by public agencies and decision makers to prevent the distribution of fake news in social media during crisis situations such as the current Covid-19 pandemics. 

The research community in the fields of machine learning, information retrieval, affective computing, education can benefit from these data by using them in various research tasks such as: (multilingual) sentiment analysis, opinion mining, performance analysis of
deep/machine learning models and techniques."
https://doi.org/10.1016/j.dib.2022.108438;Human-annotated dataset for social media sentiment analysis for Albanian language;"Uses: 
The desing pruposes and uses of the dataset";Machine learning benchmarks;"Has been tested with any machine learning approach?
If yes, which results it gets with each specific ML model?";Not tested
https://doi.org/10.1016/j.dib.2022.108439;Human-annotated dataset for social media sentiment analysis for Albanian language;"Contributors: 
People and organizations behind the dataset";Authors ;Information regarding the creators of the dataset;Fatbardh Kadriu, Doruntina Murtezaj, Fatbardh Gashi, Lule Ahmedi, Arianit Kurti, Zenun Kastrati
https://doi.org/10.1016/j.dib.2022.108440;Human-annotated dataset for social media sentiment analysis for Albanian language;"Contributors: 
People and organizations behind the dataset";Funder and funding information;Information about the organizations who fund the creation of the dataset, it's type (public, private, mixed),  and the particular grant id (if present).;This research did not receive any specific grant
https://doi.org/10.1016/j.dib.2022.108441;Human-annotated dataset for social media sentiment analysis for Albanian language;"Contributors: 
People and organizations behind the dataset";Maintainers and maintenance policies;Information about the maintainers, the erratums, the contribution guidelines, the data rentetion policies and update policies of the dataset;Not clearly mentioned
https://doi.org/10.1016/j.dib.2022.108442;Human-annotated dataset for social media sentiment analysis for Albanian language;"Distribution: 
How the dataset is distributed";Data repository links;The link where the data can be accesed if its online and open, or the place where the data can be demanded;Direct URL to data: https://data.mendeley.com/datasets/bj2gyvkgvx/4
https://doi.org/10.1016/j.dib.2022.108443;Human-annotated dataset for social media sentiment analysis for Albanian language;"Distribution: 
How the dataset is distributed";Licenses of the data and the models trained with it;"The license under the dataset is released, 
Third-parties in-charge,
Attribution notices,
The rights of the data stand-alone
The rights of the models trained with the data";Not mentioned
https://doi.org/10.1016/j.dib.2022.108444;Human-annotated dataset for social media sentiment analysis for Albanian language;"Distribution: 
How the dataset is distributed";Deprecation policies;Which are the plan and policies to deprecate the dataset;Not mentioned
https://doi.org/10.1016/j.dib.2022.108445;Human-annotated dataset for social media sentiment analysis for Albanian language;"Composition: 
How the dataset is composed";Data record composition of the dataset;The folder and files  structure and format, and information of the attributes of the files.  ;Structure provided in table
https://doi.org/10.1016/j.dib.2022.108446;Human-annotated dataset for social media sentiment analysis for Albanian language;"Composition: 
How the dataset is composed";Data splits;Is there any recommended data split of the data?;Not mentioned
https://doi.org/10.1016/j.dib.2022.108447;Human-annotated dataset for social media sentiment analysis for Albanian language;"Composition: 
How the dataset is composed";Consistnecy Rules and relevant Statistics ;Consistency rules and constraints of the data, and relevant statistics of the data;Are in Table 1, table still not included
https://doi.org/10.1016/j.dib.2022.108448;Human-annotated dataset for social media sentiment analysis for Albanian language;"Gathering: 
How data have been collected";Description of the process;A summary of the gathering process applied over the data;"The initial step is extraction of
the comments from Facebook using the Comment Exporter tool. The entry point of the Comment Exporter tool is the Facebook post URL, while the output is an Excel ﬁle containing all the
comments from the given post. In addition, the Excel ﬁle is enriched with four other attributes
and metadata related to the Facebook post.
In the second step, ﬁve other attributes related to the Covid-19 statistics are added by reading the content of the Facebook post. The third step entails the merge of all Excel ﬁles for
each Facebook post into a single Excel ﬁle. Next the aggregated data set has been processed
by anonymizing and removing duplicates as well as profanity language. During the ﬁfth step,
three researchers have independently assessed the sentiment of the comments in the dataset.
Assessment has been done using three sentiment polarities: positive, negative, and neutral. The
ﬁnal sentiment of each comment is assigned using a majority voting scheme. This step ﬁnalized
our dataset as a CSV ﬁle."
https://doi.org/10.1016/j.dib.2022.108449;Human-annotated dataset for social media sentiment analysis for Albanian language;"Gathering: 
How data have been collected";Processs Type;The type of the process from a set of provided types: Web API, Web Scrapping, Sensors, Manual Human Curator, Software collection, Surveys, Observations, Interviews, Focus groups, Document analysis, Secondary data analysis, Physical data collection, Self-reporting, Experiments, Direct measurement, Interviews, Document analysis, Secondary data analysis, Physical data collection, Self-reporting, Experiments, Direct measurement, Customer feedback data, Audio or video recordings, Image data, Biometric data, Medical or health data, Financial data, Geographic or spatial data, Time series data, User-generated content data.;Web Scrapping , User Generated
https://doi.org/10.1016/j.dib.2022.108450;Human-annotated dataset for social media sentiment analysis for Albanian language;"Gathering: 
How data have been collected";Information of the team gathering the data;Who gather the data, if its internal, external or a crowdworking serice, and its demographics information;Authors 
https://doi.org/10.1016/j.dib.2022.108451;Human-annotated dataset for social media sentiment analysis for Albanian language;"Gathering: 
How data have been collected";Demographics of the process if involves people;If the target of the gathering are people (natural language form speakers, or medical records from patients), information about the demographics of the dataset;Yes, but no demographics is presented
https://doi.org/10.1016/j.dib.2022.108452;Human-annotated dataset for social media sentiment analysis for Albanian language;"Gathering: 
How data have been collected";Information of the sources of the data;From where the data has been collected, and the potential noise issue of the source;Facebook, noise tied to the social media networks
https://doi.org/10.1016/j.dib.2022.108453;Human-annotated dataset for social media sentiment analysis for Albanian language;"Gathering: 
How data have been collected";Localization of the process;Where and when the data has been collected;Kosovo, during 2020
https://doi.org/10.1016/j.dib.2022.108454;Human-annotated dataset for social media sentiment analysis for Albanian language;"Annotation: 
How data has been annotated";Description of the process;A summary of the annotation process to generate the labels;"Comments were in Albanian language and are retrieved using a tool called Comment Exporter1 . This work aims to identify and
extract the opinions and attitudes of Kosovo citizens expressed on Facebook about the Covid19 pandemics by manually annotating comments according to their sentiment, such as positive,
negative, and neutral."
https://doi.org/10.1016/j.dib.2022.108455;Human-annotated dataset for social media sentiment analysis for Albanian language;"Annotation: 
How data has been annotated";Processs Type;The type of annotation process: Bounding boxes, Lines and splines, Semantinc Segmentation, 3D cuboids, Polygonal segmentation, Landmark and key-point, Image and video annotations, Entity annotation, Content and textual categorization;Text categorization, sentence classification
https://doi.org/10.1016/j.dib.2022.108456;Human-annotated dataset for social media sentiment analysis for Albanian language;"Annotation: 
How data has been annotated";The generated labels;Which are the generated labels, and its mapping with specific attributes;positive. Negative, neutral
https://doi.org/10.1016/j.dib.2022.108457;Human-annotated dataset for social media sentiment analysis for Albanian language;"Annotation: 
How data has been annotated";Information of the team annotating the data;Who annotates the data, form which type is (internal, external, crowdsourcing), and its demographics information;Authors, internal team, no demogrphics
https://doi.org/10.1016/j.dib.2022.108458;Human-annotated dataset for social media sentiment analysis for Albanian language;"Annotation: 
How data has been annotated";Infrastructure used to annotate the data;Which tools and platforms  has been used to annotate the data;Manually done by the authors
https://doi.org/10.1016/j.dib.2022.108459;Human-annotated dataset for social media sentiment analysis for Albanian language;"Annotation: 
How data has been annotated";Validations applied over the labels;Which validation methods have been applied to validate the annotations;Annotation Redundacy with Target Quality Assurance
https://doi.org/10.1016/j.dib.2022.108460;Human-annotated dataset for social media sentiment analysis for Albanian language;"Social Concerns: 
Explicit warning regarding the data. ";Potential biases of the data;Potential biases of the dataset;No mentiond
https://doi.org/10.1016/j.dib.2022.108461;Human-annotated dataset for social media sentiment analysis for Albanian language;"Social Concerns: 
Explicit warning regarding the data. ";Representativeness and Sensitivity iisues;Data imbalance, and representiveness issues for specific social groups, and the presence of information that can hurt the sensitivity of any social group;No mentiond
https://doi.org/10.1016/j.dib.2022.108462;Human-annotated dataset for social media sentiment analysis for Albanian language;"Social Concerns: 
Explicit warning regarding the data. ";Privacy concerns of the data;Data privacy concerns;The dataset is anonymized
https://doi.org/10.1016/j.dib.2022.108739;Dataset of prostate MRI annotated for anatomical zones and cancer;"Uses: 
The desing pruposes and uses of the dataset";Purposes, gaps and tasks;"The purposes of the creation of the dataset
The gaps this dataset inted to fill or complement
Representative tags of the dataset
ML Tasks the dataset is inteded for";"Purposes: This dataset provides segmentations from experts in urologic radiology which were exten- sively reviewed to ensure high quality segmentations. Researchers in computer vision, who do not have access to medical data and/or radiologic expertise, can therefore use it to de- velop new algorithms for prostate cancer detection

Gaps: Expert annotated MRI datasets of confirmed prostate cancer are rare [8 , 12 , 13] , but are needed to develop sufficient deep learning algorithms to assist radiologists and urologists in the de- tection and treatment of prostate cancer. 

Tasks: object-detection, image-segmentation

Tags: "
https://doi.org/10.1016/j.dib.2022.108740;Dataset of prostate MRI annotated for anatomical zones and cancer;"Uses: 
The desing pruposes and uses of the dataset";Recommended and non-recommneded uses;The recommended and non-recommended uses of the dataset, and the warning towards its use.;"The dataset can serve either as a training dataset for developing new algorithms or as a test set for trained algorithms to check their performance and generalizability.

No"
https://doi.org/10.1016/j.dib.2022.108741;Dataset of prostate MRI annotated for anatomical zones and cancer;"Uses: 
The desing pruposes and uses of the dataset";Machine learning benchmarks;"Has been tested with any machine learning approach?
If yes, which results it gets with each specific ML model?";No
https://doi.org/10.1016/j.dib.2022.108742;Dataset of prostate MRI annotated for anatomical zones and cancer;"Contributors: 
People and organizations behind the dataset";Authors ;Information regarding the creators of the dataset;Paper authors
https://doi.org/10.1016/j.dib.2022.108743;Dataset of prostate MRI annotated for anatomical zones and cancer;"Contributors: 
People and organizations behind the dataset";Funder and funding information;Information about the organizations who fund the creation of the dataset, it's type (public, private, mixed),  and the particular grant id (if present).;"by the Charité—Universitätsmedizin Berlin, the Berlin Institute of Health, and the Deutsche Forschungsgemeinschaft

Type:mixed

Grants ID:not provided"
https://doi.org/10.1016/j.dib.2022.108744;Dataset of prostate MRI annotated for anatomical zones and cancer;"Contributors: 
People and organizations behind the dataset";Maintainers and maintenance policies;Information about the maintainers, the erratums, the contribution guidelines, the data rentetion policies and update policies of the dataset;"not provided

Contribution guidelines:same as authors

Erratum:no

Data Retention:no"
https://doi.org/10.1016/j.dib.2022.108745;Dataset of prostate MRI annotated for anatomical zones and cancer;"Distribution: 
How the dataset is distributed";Data repository links;The link where the data can be accesed if its online and open, or the place where the data can be demanded;Repository name: https://zenodo.org Data identification number: 10.5281/zenodo.6481141 Access at: zenodo.org/record/6481141
https://doi.org/10.1016/j.dib.2022.108746;Dataset of prostate MRI annotated for anatomical zones and cancer;"Distribution: 
How the dataset is distributed";Licenses of the data and the models trained with it;"The license under the dataset is released, 
Third-parties in-charge,
Attribution notices,
The rights of the data stand-alone
The rights of the models trained with the data";"License: Repository name: https://zenodo.org Data identification number: 10.5281/zenodo.6481141 Access at: zenodo.org/record/6481141

Thid-parties in-charge: not provided

Attribution notice: not provided

Data Stand-alone:not provided

Model trained with the data:not provided"
https://doi.org/10.1016/j.dib.2022.108747;Dataset of prostate MRI annotated for anatomical zones and cancer;"Distribution: 
How the dataset is distributed";Deprecation policies;Which are the plan and policies to deprecate the dataset;no
https://doi.org/10.1016/j.dib.2022.108748;Dataset of prostate MRI annotated for anatomical zones and cancer;"Composition: 
How the dataset is composed";Data record composition of the dataset;The folder and files  structure and format, and information of the attributes of the files.  ;"Files:→ adc.nii.gz # ADC sequence in NIfTI format → adc_tumor_reader1.nii.gz # Tumor segmentation of reader 1 → adc_tumor_reader2.nii.gz # Tumor segmentation of reader 2 → dwi.nii.gz # DWI sequence in NIfTI format → t2.nii.gz # T2W sequence in NIfTI format → t2_anatomy_reader1.nii.gz # Anatomy segmentation of reader 1 → t2_tumor_reader1.nii.gz # Tumor segmentation of reader 1

Attributes:→ adc.nii.gz # ADC sequence in NIfTI format → adc_tumor_reader1.nii.gz # Tumor segmentation of reader 1 → adc_tumor_reader2.nii.gz # Tumor segmentation of reader 2 → dwi.nii.gz # DWI sequence in NIfTI format → t2.nii.gz # T2W sequence in NIfTI format → t2_anatomy_reader1.nii.gz # Anatomy segmentation of reader 1 → t2_tumor_reader1.nii.gz # Tumor segmentation of reader 1"
https://doi.org/10.1016/j.dib.2022.108749;Dataset of prostate MRI annotated for anatomical zones and cancer;"Composition: 
How the dataset is composed";Data splits;Is there any recommended data split of the data?;no
https://doi.org/10.1016/j.dib.2022.108750;Dataset of prostate MRI annotated for anatomical zones and cancer;"Composition: 
How the dataset is composed";Consistnecy Rules and relevant statistics;Consistency rules and constraints of the data and relevant statistics of the dataset;"no

no"
https://doi.org/10.1016/j.dib.2022.108751;Dataset of prostate MRI annotated for anatomical zones and cancer;"Gathering: 
How data have been collected";Description of the process;A summary of the gathering process applied over the data;The data set consists of 158 MRI examinations, all performed on Siemens VIDA and Skyra (Siemens Healthineers, Erlangen, Germany) clinical 3.0-T scanners according to an acquisition protocol that meets current guidelines and using B1 shimming.
https://doi.org/10.1016/j.dib.2022.108752;Dataset of prostate MRI annotated for anatomical zones and cancer;"Gathering: 
How data have been collected";Processs Type;The type of the process from a set of provided types: Web API, Web Scrapping, Sensors, Manual Human Curator, Software collection, Surveys, Observations, Interviews, Focus groups, Document analysis, Secondary data analysis, Physical data collection, Self-reporting, Experiments, Direct measurement, Interviews, Document analysis, Secondary data analysis, Physical data collection, Self-reporting, Experiments, Direct measurement, Customer feedback data, Audio or video recordings, Image data, Biometric data, Medical or health data, Financial data, Geographic or spatial data, Time series data, User-generated content data.;Physical data collection
https://doi.org/10.1016/j.dib.2022.108753;Dataset of prostate MRI annotated for anatomical zones and cancer;"Gathering: 
How data have been collected";Information of the team gathering the data;Who gather the data, if its internal, external or a crowdworking serice, and its demographics information;"Authors

Type: Internal team

Demographics: No"
https://doi.org/10.1016/j.dib.2022.108754;Dataset of prostate MRI annotated for anatomical zones and cancer;"Gathering: 
How data have been collected";Demographics of the process if involves people;If the target of the gathering are people (natural language form speakers, or medical records from patients), information about the demographics of the dataset;0
https://doi.org/10.1016/j.dib.2022.108755;Dataset of prostate MRI annotated for anatomical zones and cancer;"Gathering: 
How data have been collected";Information of the sources of the data;From where the data has been collected, and the potential noise issue of the source;"

Siemens VIDA and Skyra (Siemens Healthineers, Erlangen, Germany) clinical 3.0-T scanners

Noise: 

Link: "
https://doi.org/10.1016/j.dib.2022.108756;Dataset of prostate MRI annotated for anatomical zones and cancer;"Gathering: 
How data have been collected";Localization of the process;Where and when the data has been collected;"between 02/2016 and 01/2020.

German university hospital (CharitéUniversity Hospital Berlin)"
https://doi.org/10.1016/j.dib.2022.108757;Dataset of prostate MRI annotated for anatomical zones and cancer;"Annotation: 
How data has been annotated";Description of the process;A summary of the annotation process to generate the labels;0
https://doi.org/10.1016/j.dib.2022.108758;Dataset of prostate MRI annotated for anatomical zones and cancer;"Annotation: 
How data has been annotated";Processs Type;The type of annotation process: Bounding boxes, Lines and splines, Semantinc Segmentation, 3D cuboids, Polygonal segmentation, Landmark and key-point, Image and video annotations, Entity annotation, Content and textual categorization;0
https://doi.org/10.1016/j.dib.2022.108759;Dataset of prostate MRI annotated for anatomical zones and cancer;"Annotation: 
How data has been annotated";The generated labels;Which are the generated labels, and its mapping with specific attributes;T2W sequences and ADC maps were annotated by two board-certified radiologists with 6 and 8 years of experience, respectively. For T2W sequences, the central gland (central zone and transitional zone) and peripheral zone were seg- mented. If areas of suspected prostate cancer (PIRADS score of ≥4) were identified on examination, they were segmented in both the T2W sequences and ADC maps.
https://doi.org/10.1016/j.dib.2022.108760;Dataset of prostate MRI annotated for anatomical zones and cancer;"Annotation: 
How data has been annotated";Information of the team annotating the data;Who annotates the data, form which type is (internal, external, crowdsourcing), and its demographics information;"Two experts radiologist

Type:

Demographics:No"
https://doi.org/10.1016/j.dib.2022.108761;Dataset of prostate MRI annotated for anatomical zones and cancer;"Annotation: 
How data has been annotated";Infrastructure used to annotate the data;Which tools and platforms  has been used to annotate the data;ITK-Snap
https://doi.org/10.1016/j.dib.2022.108762;Dataset of prostate MRI annotated for anatomical zones and cancer;"Annotation: 
How data has been annotated";Validations applied over the labels;Which validation methods have been applied to validate the annotations;not provided
https://doi.org/10.1016/j.dib.2022.108763;Dataset of prostate MRI annotated for anatomical zones and cancer;"Social Concerns: 
Explicit warning regarding the data. ";Potential biases of the data;Potential biases of the dataset;No
https://doi.org/10.1016/j.dib.2022.108764;Dataset of prostate MRI annotated for anatomical zones and cancer;"Social Concerns: 
Explicit warning regarding the data. ";Representativeness and sensitivity  issues;Data imbalance, and representiveness issues for specific social groups;"No
No

Sensitivity: No"
https://doi.org/10.1016/j.dib.2022.108765;Dataset of prostate MRI annotated for anatomical zones and cancer;"Social Concerns: 
Explicit warning regarding the data. ";Privacy concerns of the data;Data privacy concerns;Data is anonymized
https://doi.org/10.1016/j.dib.2022.108863;DSAIL-Porini: Annotated camera trap image data of wildlife species from a conservancy in Kenya;"Uses: 
The desing pruposes and uses of the dataset";Purposes, gaps and tasks;"The purposes of the creation of the dataset
The gaps this dataset inted to fill or complement
Representative tags of the dataset
ML Tasks the dataset is inteded for";The dataset can be used in training and testing object detec- tion and classification machine learning models, and to test methodologies to derive sex ratios and species distribution range maps from camera trap data.
https://doi.org/10.1016/j.dib.2022.108864;DSAIL-Porini: Annotated camera trap image data of wildlife species from a conservancy in Kenya;"Uses: 
The desing pruposes and uses of the dataset";Recommended and non-recommneded uses;The recommended and non-recommended uses of the dataset, and the warning towards its use.;The dataset can be used to test methodology to derive sex ratios and species distribution range maps from camera trap data. There are no non-recommended uses.
https://doi.org/10.1016/j.dib.2022.108865;DSAIL-Porini: Annotated camera trap image data of wildlife species from a conservancy in Kenya;"Uses: 
The desing pruposes and uses of the dataset";Machine learning benchmarks;"Has been tested with any machine learning approach?
If yes, which results it gets with each specific ML model?";Not specified
https://doi.org/10.1016/j.dib.2022.108866;DSAIL-Porini: Annotated camera trap image data of wildlife species from a conservancy in Kenya;"Contributors: 
People and organizations behind the dataset";Authors ;Information regarding the creators of the dataset;"Lorna Mugambi: Software, Data curation, Writing –original draft; Jason N. Kabi: Software, Writing –review & editing; Gabriel Kiarie: Software, Writing –review & editing; Ciira wa Maina: Conceptualization, Writing –review & editing, Supervision. Special thanks to Kaindio Kimathi, a warden at the wildlife conservancy who helped validate the annotation of the dataset."
https://doi.org/10.1016/j.dib.2022.108867;DSAIL-Porini: Annotated camera trap image data of wildlife species from a conservancy in Kenya;"Contributors: 
People and organizations behind the dataset";Funder and funding information;Information about the organizations who fund the creation of the dataset, it's type (public, private, mixed),  and the particular grant id (if present).;The work was funded by Data Science Africa through the Centre for Data Science and Arti- ficial Intelligence (DSAIL) program, Canada’s International Development Research Centre (IDRC), and the Swedish International Development Cooperation Agency (Sida) through the Artificial In- telligence for Development in Africa (AI4D Africa) program. We also thank Google for a research award to DSAIL.
https://doi.org/10.1016/j.dib.2022.108868;DSAIL-Porini: Annotated camera trap image data of wildlife species from a conservancy in Kenya;"Contributors: 
People and organizations behind the dataset";Maintainers and maintenance policies;Information about the maintainers, the erratums, the contribution guidelines, the data rentetion policies and update policies of the dataset;No specific information is given about the maintainers or maintenance policies
https://doi.org/10.1016/j.dib.2022.108869;DSAIL-Porini: Annotated camera trap image data of wildlife species from a conservancy in Kenya;"Distribution: 
How the dataset is distributed";Data repository links;The link where the data can be accesed if its online and open, or the place where the data can be demanded;Direct URL to data: https://data.mendeley.com/datasets/6mhrhn7rxc/6
https://doi.org/10.1016/j.dib.2022.108870;DSAIL-Porini: Annotated camera trap image data of wildlife species from a conservancy in Kenya;"Distribution: 
How the dataset is distributed";Licenses of the data and the models trained with it;"The license under the dataset is released, 
Third-parties in-charge,
Attribution notices,
The rights of the data stand-alone
The rights of the models trained with the data";No license information is given in the paper regarding the dataset or the associated software.
https://doi.org/10.1016/j.dib.2022.108871;DSAIL-Porini: Annotated camera trap image data of wildlife species from a conservancy in Kenya;"Distribution: 
How the dataset is distributed";Deprecation policies;Which are the plan and policies to deprecate the dataset;No deprecation policies are specified
https://doi.org/10.1016/j.dib.2022.108872;DSAIL-Porini: Annotated camera trap image data of wildlife species from a conservancy in Kenya;"Composition: 
How the dataset is composed";Data record composition of the dataset;The folder and files  structure and format, and information of the attributes of the files.  ;Annotation of the images includes: species in an image, the count, sex of the animals, and the coordinates of the camera trap for each image captured. The data annotation is available on Mendeley Data as a .xlsx file. Images from the Raspberry Pi 2 and Raspberry Pi Zero are saved in one folder, ‘RaspberryPi_images’. In this folder, there are subfolders named in order of when the camera traps were deployed in the conservancy while images from the OpenMV Cam H7 are saved in another folder, ‘OpenMV_images’.
https://doi.org/10.1016/j.dib.2022.108873;DSAIL-Porini: Annotated camera trap image data of wildlife species from a conservancy in Kenya;"Composition: 
How the dataset is composed";Data splits;Is there any recommended data split of the data?;Unspecified
https://doi.org/10.1016/j.dib.2022.108874;DSAIL-Porini: Annotated camera trap image data of wildlife species from a conservancy in Kenya;"Composition: 
How the dataset is composed";Consistnecy Rules and relevant statistics;Consistency rules and constraints of the data and relevant statistics of the dataset;The paper does not specify any constraints or consistency rules. Some data is given about count and sex distribution in section 1.2 and Figures 3 and 4
https://doi.org/10.1016/j.dib.2022.108875;DSAIL-Porini: Annotated camera trap image data of wildlife species from a conservancy in Kenya;"Gathering: 
How data have been collected";Description of the process;A summary of the gathering process applied over the data;The data were acquired using camera traps deployed in a wildlife conservancy during the day. Two camera traps use the Raspberry Pi 2, one uses the Raspberry Pi Zero and the other uses the OpenMV Cam H7 [4] . 7589 images are from the Raspberry Pi 2, 610 images are from the Raspberry Pi Zero, and 325 images are from the OpenMV Cam H7 [4] . The images from the Raspberry Pi 2 and the Raspberry Pi Zero have an image size of 1280 ×720 pixels while the images from the OpenMV Cam H7 have a size of 640 ×480 pixels. All the images are in JPG format. Once the Passive Infrared (PIR) sensor is triggered, an image is captured and saved in the micro-SD card. The program has a 2-second delay meaning it will wait 2 seconds before cap- turing another image even if the sensor is triggered. The captured images are saved with the format YYYY-MM-DD-H-M-S, to help keep track of the exact time the image was captured.
https://doi.org/10.1016/j.dib.2022.108876;DSAIL-Porini: Annotated camera trap image data of wildlife species from a conservancy in Kenya;"Gathering: 
How data have been collected";Processs Type;The type of the process from a set of provided types: Web API, Web Scrapping, Sensors, Manual Human Curator, Software collection, Surveys, Observations, Interviews, Focus groups, Document analysis, Secondary data analysis, Physical data collection, Self-reporting, Experiments, Direct measurement, Interviews, Document analysis, Secondary data analysis, Physical data collection, Self-reporting, Experiments, Direct measurement, Customer feedback data, Audio or video recordings, Image data, Biometric data, Medical or health data, Financial data, Geographic or spatial data, Time series data, User-generated content data.;Physycal data collection, Image data
https://doi.org/10.1016/j.dib.2022.108877;DSAIL-Porini: Annotated camera trap image data of wildlife species from a conservancy in Kenya;"Gathering: 
How data have been collected";Information of the team gathering the data;Who gather the data, if its internal, external or a crowdworking serice, and its demographics information;The team gathering the data were the authors (not clear if all): Lorna Mugambi, Jason N. Kabi, Gabriel Kiarie, Ciira wa Maina. No specific information about their demographics is given.
https://doi.org/10.1016/j.dib.2022.108878;DSAIL-Porini: Annotated camera trap image data of wildlife species from a conservancy in Kenya;"Gathering: 
How data have been collected";Demographics of the process if involves people;If the target of the gathering are people (natural language form speakers, or medical records from patients), information about the demographics of the dataset;No
https://doi.org/10.1016/j.dib.2022.108879;DSAIL-Porini: Annotated camera trap image data of wildlife species from a conservancy in Kenya;"Gathering: 
How data have been collected";Information of the sources of the data;From where the data has been collected, and the potential noise issue of the source;The dataset consists of camera trap images collected at the Dedan Ki- mathi University Wildlife Conservancy (DeKUWC) in Kenya [3]. The dataset consists of 8524 images from the four camera traps deployed. Two camera traps use the Raspberry Pi 2, one uses the Raspberry Pi Zero and the other uses the OpenMV Cam H7 [4] .
https://doi.org/10.1016/j.dib.2022.108880;DSAIL-Porini: Annotated camera trap image data of wildlife species from a conservancy in Kenya;"Gathering: 
How data have been collected";Localization of the process;Where and when the data has been collected;Images collected at the Dedan Kimathi University Wildlife Conservancy (DeKUWC) in Kenya
https://doi.org/10.1016/j.dib.2022.108881;DSAIL-Porini: Annotated camera trap image data of wildlife species from a conservancy in Kenya;"Annotation: 
How data has been annotated";Description of the process;A summary of the annotation process to generate the labels;The DSAIL-Porini dataset was manually annotated.
